,Product,Availables,Model,Characteristics,Sold Last Month,Rating,Color,Description
,Smartphone,150,XYZ-200,"6.5"" OLED, 128GB storage, 12MP camera, 5G connectivity",120,4.3,Black,"The XYZ-200 smartphone offers stunning visuals with its 6.5"" OLED display, ample storage for all your apps and media, a high-quality 12MP camera for capturing your memories, and lightning-fast 5G connectivity for seamless browsing and streaming. Available in sleek black."
,Laptop,80,ABC-500,"15.6"" FHD, 512GB SSD, 8GB RAM, Intel Core i7 processor",60,4.5,Silver,"The ABC-500 laptop combines power and portability with its vibrant 15.6"" Full HD display, lightning-fast 512GB SSD storage, smooth multitasking with 8GB RAM, and Intel Core i7 processor for blazing performance. Its sleek silver design adds a touch of elegance to your work or entertainment setup."
,Headphones,200,DEF-1000,"Wireless, Active Noise Cancelling, 30-hour battery life",180,4.7,Blue,"Immerse yourself in music with the DEF-1000 headphones. Enjoy the freedom of wireless connectivity, block out distractions with active noise cancelling technology, and indulge in marathon listening sessions with up to 30 hours of battery life. Available in stylish blue."
,Smartwatch,100,GHI-300,"Waterproof, Heart Rate Monitor, GPS tracking",80,4.2,Red,"Stay active and connected with the GHI-300 smartwatch. Track your workouts with precision, monitor your heart rate throughout the day, and explore new routes with built-in GPS. Plus, its waterproof design means you can take it anywhere, rain or shine. Available in vibrant red."
,Tablet,120,JKL-700,"10.2"" HD, 64GB storage, Wi-Fi, Touchscreen display",90,4.4,White,"The JKL-700 tablet offers a portable entertainment hub with its crisp 10.2"" HD display, ample 64GB storage for your apps and files, seamless connectivity with Wi-Fi, and intuitive touchscreen interface for effortless navigation. Its elegant white finish adds a touch of sophistication to your digital experience."
,Camera,50,MNO-900,"24MP sensor, 4K video recording, Wi-Fi connectivity",40,4.6,Black,"Capture life's moments in stunning detail with the MNO-900 camera. Featuring a high-resolution 24MP sensor, cinematic 4K video recording capabilities, and seamless Wi-Fi connectivity for instant sharing, it's the perfect companion for aspiring photographers and videographers. Available in classic black."
,Gaming Console,70,PQR-600,"1TB storage, 8-core processor, 4K HDR graphics",50,4.8,Green,"Elevate your gaming experience with the PQR-600 gaming console. Dive into immersive worlds with lightning-fast performance powered by its 8-core processor, enjoy stunning visuals with 4K HDR graphics, and store all your favorite games with ample 1TB storage. Its vibrant green design adds a pop of color to your gaming setup."
,Fitness Tracker,180,STU-400,"Step counter, Heart Rate Monitor, Sleep tracking",150,4.5,Pink,"Take control of your health and fitness journey with the STU-400 fitness tracker. Monitor your daily steps, keep track of your heart rate, and optimize your sleep with insightful tracking data. Its sleek pink design adds a stylish touch to your active lifestyle."
,Wireless Speaker,90,VWX-800,"Bluetooth connectivity, 20W output, Waterproof",75,4.3,Grey,"Bring the party wherever you go with the VWX-800 wireless speaker. Enjoy powerful, room-filling sound with 20W output, seamless Bluetooth connectivity for wireless streaming, and worry-free durability with its waterproof construction. Its sleek grey design complements any environment with modern style."
,E-reader,60,YZA-200,"E-ink display, Adjustable backlight, 8GB storage",45,4.4,Blue,"Immerse yourself in a world of books with the YZA-200 e-reader. Its crisp E-ink display and adjustable backlight provide a comfortable reading experience day or night, while 8GB of storage means you can carry your entire library with you wherever you go. Available in calming blue."
